date;source;destination;start_time;end_time;price;currency
2024-06-01;LHR;CDG;20:35+0000;22:55+0100;82.0;$
2024-06-01;LHR;CDG;20:35+0000;22:55+0100;82.0;$
2024-06-01;LHR;CDG;19:45+0000;22:00+0100;99.0;$
2024-06-01;LHR;CDG;18:40+0000;21:00+0100;97.0;$
2024-06-01;LHR;CDG;17:35+0000;19:55+0100;104.0;$
2024-06-01;LHR;CDG;14:45+0000;17:05+0100;146.0;$
2024-06-01;LHR;CDG;16:00+0000;18:20+0100;160.0;$
2024-06-01;LHR;CDG;06:15+0000;08:35+0100;183.0;$
2024-06-01;LHR;CDG;11:30+0000;13:50+0100;218.0;$
2024-06-01;LHR;CDG;09:00+0000;11:20+0100;261.0;$
2024-06-01;LHR;CDG;11:00+0000;13:20+0100;399.0;$
2024-06-01;CDG;LHR;22:00+0100;22:15+0000;152.0;$
2024-06-01;CDG;LHR;07:35+0100;08:00+0000;145.0;$
2024-06-01;CDG;LHR;18:15+0100;18:35+0000;173.0;$
2024-06-01;CDG;LHR;19:10+0100;19:25+0000;186.0;$
2024-06-01;CDG;LHR;22:00+0100;22:15+0000;152.0;$
2024-06-01;CDG;LHR;21:00+0100;21:25+0000;168.0;$
2024-06-01;CDG;LHR;16:10+0100;16:35+0000;222.0;$
2024-06-01;CDG;LHR;10:00+0100;10:30+0000;295.0;$
2024-06-01;CDG;LHR;13:20+0100;13:45+0000;318.0;$
2024-06-01;CDG;LHR;14:10+0100;14:25+0000;359.0;$
2024-06-01;CDG;LHR;10:30+0100;10:50+0000;561.0;$
