date;source;destination;start_time;end_time;price;currency
2024-06-01;LHR;CDG;20:35+0000;22:55+0100;82.0;$
2024-06-01;LHR;CDG;20:35+0000;22:55+0100;82.0;$
2024-06-01;LHR;CDG;18:40+0000;21:00+0100;86.0;$
2024-06-01;LHR;CDG;19:45+0000;22:00+0100;104.0;$
2024-06-01;LHR;CDG;17:35+0000;19:55+0100;104.0;$
2024-06-01;LHR;CDG;14:45+0000;17:05+0100;104.0;$
2024-06-01;LHR;CDG;06:15+0000;08:35+0100;127.0;$
2024-06-01;LHR;CDG;11:30+0000;13:50+0100;154.0;$
2024-06-01;LHR;CDG;16:00+0000;18:20+0100;170.0;$
2024-06-01;LHR;CDG;09:00+0000;11:20+0100;212.0;$
2024-06-01;LHR;CDG;11:00+0000;13:20+0100;577.0;$
2024-06-01;CDG;LHR;22:00+0100;22:15+0000;179.0;$
2024-06-01;CDG;LHR;19:10+0100;19:25+0000;185.0;$
2024-06-01;CDG;LHR;22:00+0100;22:15+0000;179.0;$
2024-06-01;CDG;LHR;18:15+0100;18:35+0000;217.0;$
2024-06-01;CDG;LHR;21:00+0100;21:25+0000;217.0;$
2024-06-01;CDG;LHR;16:10+0100;16:35+0000;267.0;$
2024-06-01;CDG;LHR;07:35+0100;08:00+0000;295.0;$
2024-06-01;CDG;LHR;13:20+0100;13:45+0000;319.0;$
2024-06-01;CDG;LHR;10:00+0100;10:30+0000;312.0;$
2024-06-01;CDG;LHR;14:10+0100;14:25+0000;414.0;$
2024-06-01;CDG;LHR;10:30+0100;10:50+0000;559.0;$
2024-06-02;LHR;CDG;20:45+0000;23:05+0100;98.0;$
2024-06-02;LHR;CDG;20:45+0000;23:05+0100;98.0;$
2024-06-02;LHR;CDG;18:00+0000;20:20+0100;131.0;$
2024-06-02;LHR;CDG;15:20+0000;17:40+0100;160.0;$
2024-06-02;LHR;CDG;19:45+0000;22:00+0100;189.0;$
2024-06-02;LHR;CDG;07:20+0000;09:40+0100;179.0;$
2024-06-02;LHR;CDG;14:45+0000;17:05+0100;223.0;$
2024-06-02;LHR;CDG;11:30+0000;13:50+0100;227.0;$
2024-06-02;LHR;CDG;17:35+0000;19:55+0100;264.0;$
2024-06-02;LHR;CDG;13:55+0000;16:15+0100;269.0;$
2024-06-02;LHR;CDG;09:00+0000;11:20+0100;264.0;$
2024-06-02;LHR;CDG;06:15+0000;08:35+0100;297.0;$
2024-06-02;LHR;CDG;10:55+0000;13:15+0100;385.0;$
2024-06-02;CDG;LHR;18:40+0100;18:55+0000;179.0;$
2024-06-02;CDG;LHR;18:40+0100;18:55+0000;178.0;$
2024-06-02;CDG;LHR;21:10+0100;21:25+0000;184.0;$
2024-06-02;CDG;LHR;07:35+0100;08:00+0000;180.0;$
2024-06-02;CDG;LHR;17:10+0100;17:25+0000;233.0;$
2024-06-02;CDG;LHR;08:00+0100;08:20+0000;220.0;$
2024-06-02;CDG;LHR;18:15+0100;18:35+0000;267.0;$
2024-06-02;CDG;LHR;16:10+0100;16:35+0000;267.0;$
2024-06-02;CDG;LHR;13:20+0100;13:45+0000;289.0;$
2024-06-02;CDG;LHR;10:00+0100;10:30+0000;289.0;$
2024-06-02;CDG;LHR;21:00+0100;21:25+0000;317.0;$
2024-06-02;CDG;LHR;14:20+0100;14:35+0000;385.0;$
2024-06-02;CDG;LHR;10:35+0100;10:55+0000;443.0;$
